기관명,차량번호,차량모델,모델연도,주행거리,예정가,낙찰금액,입찰건수,차량설명(특이사항),경매일시,보관소,상세URL,공고번호
금융 공개매각,XXXX1822,렉스턴스포츠,,"44,136","17,899,000",,,"매수대금 납부일: 매각결정 발표일의 익일 16시까지 (공고문 참조)개인명의 할부차량으로 사업자 유/무 관계없이 계산서 및 세금계산서 발행불가함. 개인낙찰시 현금영수증 불가함. 해당차량에 저당있음(저당말소비용 낙찰자부담), 차량내 소화기 없음(낙찰자 설치 의무있음-공고문 참고요망).구조변경 1건[물품적재장치/픽업덮개], 최초등록일: 2021-12-14, 제작",2025-12-04,경남보관소,https://www.automart.co.kr/views/pub_auction/Common/CarDetail_in.asp?p_sel=2&PageNo=1&p_NotNo=GMKB002025A124&p_Code=1&p_CarNo=XXXX1822,
회원사 공개매각,XXX0310,올 뉴 말리부,,"153,688","6,500,000",,,매수대금 납부일: 매각결정 발표일의 익일 16시까지 (공고문 참조)차량내 소화기 없음(낙찰자 설치 의무있음-공고문 참고요망).매매상사이전차량세금계산서발행가능함/제작년도2016,2025-12-04,경기남부보관소,https://www.automart.co.kr/views/pub_auction/Common/CarDetail_in.asp?p_sel=2&PageNo=1&p_NotNo=GMAM012025A14047&p_Code=1&p_CarNo=XXX0310,
회원사 공개매각,XXX2319,SM6 1.6 TCe,,"134,826","5,500,000",,,매수대금 납부일: 매각결정 발표일의 익일 16시까지 (공고문 참조)차량내 소화기 없음(낙찰자 설치 의무있음-공고문 참고요망).매매상사이전차량세금계산서발행가능함/제작년도2017 최초등록일2018-03-28,2025-12-04,경기남부보관소,https://www.automart.co.kr/views/pub_auction/Common/CarDetail_in.asp?p_sel=2&PageNo=1&p_NotNo=GMAM012025A14049&p_Code=1&p_CarNo=XXX2319,
회원사 공개매각,XXX6165,코란도 C 클,,"130,354","2,800,000",,,매수대금 납부일: 매각결정 발표일의 익일 16시까지 (공고문 참조)차량내 소화기 없음(낙찰자 설치 의무있음-공고문 참고요망).매매상사이전차량세금계산서발행가능함/제작년도2013,2025-12-04,경기남부보관소,https://www.automart.co.kr/views/pub_auction/Common/CarDetail_in.asp?p_sel=2&PageNo=1&p_NotNo=GMAM012025A14053&p_Code=1&p_CarNo=XXX6165,
회원사 공개매각,XXX4806,BMW 3시리즈,,"171,044","7,501,000",,,매수대금 납부일: 매각결정 발표일의 익일 16시까지 (공고문 참조)차량내 소화기 없음(낙찰자 설치 의무있음-공고문 참고요망).매매상사이전차량세금계산서발행가능함/제작년도2015 키2개중1개 리모콘불량,2025-12-04,경기남부보관소,https://www.automart.co.kr/views/pub_auction/Common/CarDetail_in.asp?p_sel=2&PageNo=1&p_NotNo=GMAM012025A14056&p_Code=1&p_CarNo=XXX4806,
회원사 공개매각,XXX6286,BMW X5 Drive,,"295,540","5,213,000",,,매수대금 납부일: 매각결정 발표일의 익일 16시까지 (공고문 참조)차량내 소화기 없음(낙찰자 설치 의무있음-공고문 참고요망).세금계산서발행불가/제작년도2012,2025-12-04,경기남부보관소,https://www.automart.co.kr/views/pub_auction/Common/CarDetail_in.asp?p_sel=2&PageNo=1&p_NotNo=GMAM012025A14057&p_Code=1&p_CarNo=XXX6286,
회원사 공개매각,XXX9362,벤츠 스프린,,"98,253","10,090,000",,,"매수대금 납부일: 매각결정 발표일의 익일 16시까지 (공고문 참조)차량내 소화기 없음(낙찰자 설치 의무있음-공고문 참고요망).최초등록일2010-03-23,제작연도:2009, 상사등록 차량으로 세금꼐산서 발행가능, 각종오일누유, 엔진/하체이음발생, 차체및하체 일부 부식있음, 뒷좌석 내장품 전체 깨짐및파손(참고)차량 옵션및 기능상태 확인안됨-옵션기능상태 불량으",2025-12-04,대전보관소,https://www.automart.co.kr/views/pub_auction/Common/CarDetail_in.asp?p_sel=2&PageNo=1&p_NotNo=GMAM012025A14084&p_Code=1&p_CarNo=XXX9362,
회원사 공개매각,XXX5451,그랜드 카니,,"198,837","3,510,000",,,"매수대금 납부일: 매각결정 발표일의 익일 16시까지 (공고문 참조)차량내 소화기 없음(낙찰자 설치 의무있음-공고문 참고요망).최초등록일2013-05-03,제작연월:2013-03, 상사등록 차량으로 세금계산서 발행가능, 각종오일누유, 엔진/하체이음발생",2025-12-04,대전보관소,https://www.automart.co.kr/views/pub_auction/Common/CarDetail_in.asp?p_sel=2&PageNo=1&p_NotNo=GMAM012025A14086&p_Code=1&p_CarNo=XXX5451,
금융 공개매각,XXXX4946,BMWGranTuris,,"176,626","8,600,000",,,"매수대금 납부일: 매각결정 발표일의 익일 16시까지 (공고문 참조)개인할부차량으로 사업자유무관계없이 계산서나 세금계산서발행불가함.현금영수증발행불가함.제작연도(2015),최초 등록일(2014-11-21),검사 유효기간(2024-11-20),검사 기간 경과 낙찰시 낙찰자 책임하에 자동차 검사 요망 (필요시 수리후 검사 진행 해야함/낙찰자 부담 /클레임 불가),",2025-12-04,충북보관소,https://www.automart.co.kr/views/pub_auction/Common/CarDetail_in.asp?p_sel=2&PageNo=1&p_NotNo=GMBM012025A1791&p_Code=1&p_CarNo=XXXX4946,
회원사 공개매각,XXX7619,Dakota,,"319,938","3,010,000",,,"매수대금 납부일: 매각결정 발표일의 익일 16시까지 (공고문 참조)차량내 소화기 없음(낙찰자 설치 의무있음-공고문 참고요망).최초등록일2005-10-28,제작연월:2005-10, 상사등록 차량으로 세금계산서 발행가능, 각종오일누유심함, 엔진/하체이음-점검후수리요함, 엔진부조현상있음(참고), 히터 작동안됨, 차체및하체부식있음, 차량상태불량, 쿼터패널교환, 주",2025-12-04,대전보관소,https://www.automart.co.kr/views/pub_auction/Common/CarDetail_in.asp?p_sel=2&PageNo=1&p_NotNo=GMAM012025A14088&p_Code=1&p_CarNo=XXX7619,
회원사 공개매각,XXX9297,인피니티 QX6,,"100,026","9,901,000",,,매수대금 납부일: 매각결정 발표일의 익일 16시까지 (공고문 참조)차량내 소화기 없음(낙찰자 설치 의무있음-공고문 참고요망). 제작 연도2014년/운전석 통풍 시트 불량 매매상사 이전차량 세금계산서 발행 가능,2025-12-03,경기북부2보관소,https://www.automart.co.kr/views/pub_auction/Common/CarDetail_in.asp?p_sel=2&PageNo=1&p_NotNo=GMAM012025A14034&p_Code=1&p_CarNo=XXX9297,
금융 공개매각,XXXX9579,BMWX6M50i,,"69,938","65,697,000",,,"매수대금 납부일: 매각결정 발표일의 익일 16시까지 (공고문 참조)렌트 차량으로 세금계산서 발행가능함, 현금영수증발행불가,최초등록일(2021-07-27). 제작연도2021년5월. 차량내 소화기 없음(낙찰자 설치 의무있음-공고문 참고요망). 차량키2EA. 메뉴얼없음. 타이어마모 및 일부훼손. 차량정기점검/배기가스/엔진오일 서비스 메시지점등. 낙찰후 영업용(렌",2025-12-03,인천보관소,https://www.automart.co.kr/views/pub_auction/Common/CarDetail_in.asp?p_sel=2&PageNo=1&p_NotNo=GMBM012025A1788&p_Code=1&p_CarNo=XXXX9579,
회원사 공개매각,XXX6791,아우디 A6 (C,,"106,114","6,802,000",,,매수대금 납부일: 매각결정 발표일의 익일 16시까지 (공고문 참조)제작년도 2014년 매매상사 이전차량 세금계산서 발행 가능 성능보험 보증 불가 차량내 소화기 없음(낙찰자 설치 의무있음-공고문 참고요망). 실차확인 후 입찰 요함,2025-12-03,경기남부보관소,https://www.automart.co.kr/views/pub_auction/Common/CarDetail_in.asp?p_sel=2&PageNo=1&p_NotNo=GMAM012025A14009&p_Code=1&p_CarNo=XXX6791,
회원사 공개매각,XXX4414,i40 2.0 GDi,,"171,839","4,399,000",,,매수대금 납부일: 매각결정 발표일의 익일 16시까지 (공고문 참조)차량내 소화기 없음(낙찰자 설치 의무있음-공고문 참고요망).매매상사이전차량세금계산서발행가능함/제작년도2012,2025-12-03,경기남부보관소,https://www.automart.co.kr/views/pub_auction/Common/CarDetail_in.asp?p_sel=2&PageNo=1&p_NotNo=GMAM012025A14019&p_Code=1&p_CarNo=XXX4414,
금융 공개매각,XXXX2774,G4렉스턴 HER,,"76,015","20,650,000",,,"매수대금 납부일: 매각결정 발표일의 익일 16시까지 (공고문 참조)개인명의 할부차량으로 사업자 유/무 관계없이 계산서 및 세금계산서 발행불가함. 개인낙찰시 현금영수증 불가함. 해당차량에 저당있음(저당말소비용 낙찰자부담), 차량내 소화기 없음(낙찰자 설치 의무있음-공고문 참고요망). 최초등록일:(2020-06-25), 제작년도:2020년 5월, 차량키2개, ",2025-12-03,부산보관소,https://www.automart.co.kr/views/pub_auction/Common/CarDetail_in.asp?p_sel=2&PageNo=1&p_NotNo=GMKB002025A121&p_Code=1&p_CarNo=XXXX2774,
금융 공개매각,XXXX1993,팰리세이드,,"41,077","36,190,000",,,매수대금 납부일: 매각결정 발표일의 익일 16시까지 (공고문 참조)개인할부차량으로 사업자유무관계없이 계산서나 세금계산서발행불가함.현금영수증발행불가함. 최초등록일(2023-03-09). 제작연도:2023년2월. 차량내 소화기 있음. 차량키2EA/카드키1EA(카드키 작동불능). 메뉴얼있음. 엔진오일부족. 일부타이어 마모. [ 공고문 참조 사항 ]낙찰시 낙찰금액,2025-12-03,인천보관소,https://www.automart.co.kr/views/pub_auction/Common/CarDetail_in.asp?p_sel=2&PageNo=1&p_NotNo=GMKM032025A39&p_Code=1&p_CarNo=XXXX1993,
금융 공개매각,XXXX4803,BMWX5xDrive3,,"89,183","73,160,000",,,"매수대금 납부일: 매각결정 발표일의 익일 16시까지 (공고문 참조)정식수입차량으로 계산서 발행 가능함(단,리스이용시 계산서발행불가함), 현금영수증발행불가, 최초등록일(2022-12-15) 차량내 소화기 없음(낙찰자 설치 의무있음-공고문 참고요망). 차량키2EA 사용설명서있음 본 차량을 낙찰받으실 경우 리스 이용이 가능하여 등록비 초기부담 절약효과를 받을수 ",2025-12-03,경남보관소,https://www.automart.co.kr/views/pub_auction/Common/CarDetail_in.asp?p_sel=2&PageNo=1&p_NotNo=GMBM012025A1789&p_Code=1&p_CarNo=XXXX4803,
금융 공개매각,XXXX9222,BMW740ixDriv,,"6,452","137,597,000",,,"매수대금 납부일: 매각결정 발표일의 익일 16시까지 (공고문 참조)정식수입차량으로 계산서 발행 가능함(단,리스이용시 계산서발행불가함), 현금영수증발행불가, 최초등록일(2025-06-13),제작연월(2025-02월) 차량내 소화기 없음(낙찰자 설치 의무있음-공고문 참고요망). 실차확인요망,사고유무확인요망 차량키2EA 사용설명서있음 본 차량을 낙찰받으실 경우 ",2025-12-03,경남보관소,https://www.automart.co.kr/views/pub_auction/Common/CarDetail_in.asp?p_sel=2&PageNo=1&p_NotNo=GMBM012025A1790&p_Code=1&p_CarNo=XXXX9222,
금융 공개매각,XXXX9097,BMW520i,,"65,204","38,389,000",,,"매수대금 납부일: 매각결정 발표일의 익일 16시까지 (공고문 참조)렌트 차량으로 세금계산서 발행가능함, 현금영수증발행불가,제작연월(2023-05),최초 등록일(2023-09-27),검사 유효기간(2026-09-26),차량내 소화기 없음(낙찰자 설치 의무 있음-공고문 참고 요망).렌트 이력 있음,메뉴얼있음,차량키 2개 낙찰후 영업용(렌트)번호 말소후 일반 번",2025-12-03,충북보관소,https://www.automart.co.kr/views/pub_auction/Common/CarDetail_in.asp?p_sel=2&PageNo=1&p_NotNo=GMBM012025A1786&p_Code=1&p_CarNo=XXXX9097,
금융 공개매각,XXXX5362,Explorer3.0,,"56,636","39,610,000",,,"매수대금 납부일: 매각결정 발표일의 익일 16시까지 (공고문 참조)정식수입차량으로 계산서 발행 가능함(단,리스이용시 계산서발행불가함), 현금영수증발행불가, 최초등록일(2023-03-30) 차량내 소화기 없음(낙찰자 설치 의무있음-공고문 참고요망). 스마트키 2개,매뉴얼 있음 본 차량을 낙찰받으실 경우 리스 이용이 가능하여 등록비 초기부담 절약효과를 받을수 ",2025-12-03,대구보관소,https://www.automart.co.kr/views/pub_auction/Common/CarDetail_in.asp?p_sel=2&PageNo=1&p_NotNo=GMBM012025A1785&p_Code=1&p_CarNo=XXXX5362,
금융 공개매각,XXXX9368,Mercedes-Ben,,"44,330","31,760,000",,,"매수대금 납부일: 매각결정 발표일의 익일 16시까지 (공고문 참조)정식수입차량으로 계산서 발행 가능함(단,리스이용시 계산서발행불가함), 현금영수증발행불가, 차량내 소화기 없음(낙찰자 설치 의무있음-공고문 참고요망). 최초등록일:2022-04-22 제작연도:2022년02월 리모콘(스마트키)2개와 매뉴얼있음. 휠상처있음. 본 차량을 낙찰받으실 경우 리스 이용이",2025-12-03,전북보관소,https://www.automart.co.kr/views/pub_auction/Common/CarDetail_in.asp?p_sel=2&PageNo=1&p_NotNo=GMBM012025A1784&p_Code=1&p_CarNo=XXXX9368,
금융 공개매각,XXXX8756,MINICooper,,"40,520","20,610,000",,,"매수대금 납부일: 매각결정 발표일의 익일 16시까지 (공고문 참조)정식수입차량으로 계산서 발행 가능함(단,리스이용시 계산서발행불가함), 현금영수증발행불가,최초등록일(2023-06-26). 제작연도:2023년2월. 차량내 소화기 없음(낙찰자 설치 의무있음-공고문 참고요망). 차량키2EA. 메뉴얼있음. 본 차량을 낙찰받으실 경우 리스 이용이 가능하여 등록비 초",2025-12-03,인천보관소,https://www.automart.co.kr/views/pub_auction/Common/CarDetail_in.asp?p_sel=2&PageNo=1&p_NotNo=GMBM012025A1783&p_Code=1&p_CarNo=XXXX8756,
금융 공개매각,XXXX5801,코란도 C5 2W,,"19,092","17,570,000",,,"매수대금 납부일: 매각결정 발표일의 익일 16시까지 (공고문 참조)개인명의 할부차량으로 사업자 유/무 관계없이 계산서 및 세금계산서 발행불가함. 개인낙찰시 현금영수증 불가함. 해당차량에 저당있음(저당말소비용 낙찰자부담), 차량내 소화기 없음(낙찰자 설치 의무있음-공고문 참고요망). 최초등록일: 2021-11-10, 제작연월: 2021-09, 스마트키 2개,",2025-12-03,대구보관소,https://www.automart.co.kr/views/pub_auction/Common/CarDetail_in.asp?p_sel=2&PageNo=1&p_NotNo=GMKB002025A123&p_Code=1&p_CarNo=XXXX5801,
금융 공개매각,XXXX7695,토레스 T7 AW,,"6,993","27,190,000",,,"매수대금 납부일: 매각결정 발표일의 익일 16시까지 (공고문 참조)개인명의 할부차량으로 사업자 유/무 관계없이 계산서 및 세금계산서 발행불가함. 개인낙찰시 현금영수증 불가함. 해당차량에 저당있음(저당말소비용 낙찰자부담), 차량내 소화기 없음(낙찰자 설치 의무있음-공고문 참고요망). 제작년월2024-04, 최초등록일2024-08-13, 키2개, 메뉴얼, 해당",2025-12-03,경기남부보관소,https://www.automart.co.kr/views/pub_auction/Common/CarDetail_in.asp?p_sel=2&PageNo=1&p_NotNo=GMKB002025A122&p_Code=1&p_CarNo=XXXX7695,
회원사 공개매각,XXX8001,에쿠스(신형),,"252,827","5,419,000",,,매수대금 납부일: 매각결정 발표일의 익일 16시까지 (공고문 참조)차량내 소화기 없음(낙찰자 설치 의무있음-공고문 참고요망).매매상사이전차량세금계산서발행가능함/제작년도2013,2025-12-02,경기남부보관소,https://www.automart.co.kr/views/pub_auction/Common/CarDetail_in.asp?p_sel=2&PageNo=1&p_NotNo=GMAM012025A13976&p_Code=1&p_CarNo=XXX8001,
회원사 공개매각,XXX1650,올란도 2.0,,"154,598","3,590,000",,,매수대금 납부일: 매각결정 발표일의 익일 16시까지 (공고문 참조)차량내 소화기 없음(낙찰자 설치 의무있음-공고문 참고요망). 제작 연도2014년 매매상사 이전차량 세금계산서 발행 가능,2025-12-02,경기북부2보관소,https://www.automart.co.kr/views/pub_auction/Common/CarDetail_in.asp?p_sel=2&PageNo=1&p_NotNo=GMAM012025A13940&p_Code=1&p_CarNo=XXX1650,
회원사 공개매각,XXX1363,BMW GT (F07),,"177,030","8,500,000",,,매수대금 납부일: 매각결정 발표일의 익일 16시까지 (공고문 참조)차량내 소화기 없음(낙찰자 설치 의무있음-공고문 참고요망). 제작 연도2014년 매매상사 이전차량 세금계산서 발행 가능,2025-12-02,경기북부2보관소,https://www.automart.co.kr/views/pub_auction/Common/CarDetail_in.asp?p_sel=2&PageNo=1&p_NotNo=GMAM012025A13943&p_Code=1&p_CarNo=XXX1363,
회원사 공개매각,XXXX5403,K5 LPi,,"124,790","5,555,000",,,"매수대금 납부일: 매각결정 발표일의 익일 16시까지 (공고문 참조)차량내 소화기 없음(낙찰자 설치 의무있음-공고문 참고요망).최초등록일2018-09-07,제작연월:2018-06, 상사등록 차량으로 세금계산서 발행가능, 렌트이력있음, 각종오일누유, 계기판 TPMS점등, 라디에이터서포트교환, 인사이드패널교환, 사이드멤버수리, 쿼터패널교환, 스텝필러굴곡",2025-12-02,대전보관소,https://www.automart.co.kr/views/pub_auction/Common/CarDetail_in.asp?p_sel=2&PageNo=1&p_NotNo=GMAM012025A13950&p_Code=1&p_CarNo=XXXX5403,
회원사 공개매각,XXX9403,트랙스 1.4,,"156,801","3,150,000",,,"매수대금 납부일: 매각결정 발표일의 익일 16시까지 (공고문 참조)차량내 소화기 없음(낙찰자 설치 의무있음-공고문 참고요망).최초등록일2013-12-03,제작연월:2013-11, 상사등록 차량으로 세금계산서 발행가능, 각종오일누유, 엔진/하체이음발생",2025-12-02,대전보관소,https://www.automart.co.kr/views/pub_auction/Common/CarDetail_in.asp?p_sel=2&PageNo=1&p_NotNo=GMAM012025A13956&p_Code=1&p_CarNo=XXX9403,
회원사 공개매각,XXX4404,MINI Cooper,,"144,061","15,255,000",,,매수대금 납부일: 매각결정 발표일의 익일 16시까지 (공고문 참조)차량내 소화기 없음(낙찰자 설치 의무있음-공고문 참고요망).매매상사이전차량세금계산서발행가능함/최초등록일2018-09-20,2025-12-02,경기남부보관소,https://www.automart.co.kr/views/pub_auction/Common/CarDetail_in.asp?p_sel=2&PageNo=1&p_NotNo=GMAM012025A13974&p_Code=1&p_CarNo=XXX4404,
금융 공개매각,XXXX9418,MINICooperCo,,"70,267","22,120,000",,,"매수대금 납부일: 매각결정 발표일의 익일 16시까지 (공고문 참조)정식수입차량으로 계산서 발행 가능함(단,리스이용시 계산서발행불가함), 현금영수증발행불가, 최초등록일(2022-06-10). 제작연도:2022년3월. 차량내 소화기 없음(낙찰자 설치 의무있음-공고문 참고요망). 차량키1EA. 메뉴얼있음. 엔진오일 서비스메시지점등. 윈터타이어장착. 주간등 갈변현",2025-12-02,인천보관소,https://www.automart.co.kr/views/pub_auction/Common/CarDetail_in.asp?p_sel=2&PageNo=1&p_NotNo=GMBM012025A1780&p_Code=1&p_CarNo=XXXX9418,
회원사 공개매각,XXX7464,SM7 노바 RE,,"135,689","3,819,000",,,매수대금 납부일: 매각결정 발표일의 익일 16시까지 (공고문 참조)차량내 소화기 없음(낙찰자 설치 의무있음-공고문 참고요망).매매상사이전차량세금계산서발행가능함/제작년도2014 최초등록일2014-10-20/보험미확정이력있음,2025-12-02,경기남부보관소,https://www.automart.co.kr/views/pub_auction/Common/CarDetail_in.asp?p_sel=2&PageNo=1&p_NotNo=GMAM012025A13977&p_Code=1&p_CarNo=XXX7464,
회원사 공개매각,XXX4722,K5 2세대 1.7,,"120,985","5,800,000",,,매수대금 납부일: 매각결정 발표일의 익일 16시까지 (공고문 참조)차량내 소화기 없음(낙찰자 설치 의무있음-공고문 참고요망). 제작 연도2015년 매매상사 이전차량 세금계산서 발행 가능,2025-12-01,경기북부2보관소,https://www.automart.co.kr/views/pub_auction/Common/CarDetail_in.asp?p_sel=2&PageNo=1&p_NotNo=GMAM012025A13877&p_Code=1&p_CarNo=XXX4722,
금융 공개매각,XXX0180,봉고Ⅲ1톤 초,,"170,813","8,390,000",,,"매수대금 납부일: 매각결정 발표일의 익일 16시까지 (공고문 참조)개인명의 할부차량으로 사업자 유/무 관계없이 계산서 및 세금계산서 발행불가함. 개인낙찰시 현금영수증 불가함. 해당차량에 저당있음(저당말소비용 낙찰자부담), 제작연도(2019년),최초등록일(2019-02-22),검사기간(2024-04-25) 경과차량으로 낙찰자 책임하에 자동차 검사 요망 (필요",2025-12-01,충북보관소,https://www.automart.co.kr/views/pub_auction/Common/CarDetail_in.asp?p_sel=2&PageNo=1&p_NotNo=GMKB002025A119&p_Code=1&p_CarNo=XXX0180,
회원사 공개매각,XXXX9526,XM3 1.6 GTe,,"12,939","18,100,000",,,매수대금 납부일: 매각결정 발표일의 익일 16시까지 (공고문 참조)차량내 소화기 없음(낙찰자 설치 의무있음-공고문 참고요망).세금계산서발행불가/제작년월2022-11 최초등록일2022-12-07,2025-12-01,경기남부보관소,https://www.automart.co.kr/views/pub_auction/Common/CarDetail_in.asp?p_sel=2&PageNo=1&p_NotNo=GMAM012025A13905&p_Code=1&p_CarNo=XXXX9526,
회원사 공개매각,XXX7815,SM3,,"82,966","2,410,000",,,"매수대금 납부일: 매각결정 발표일의 익일 16시까지 (공고문 참조)제작연월(2013-03),최초 등록일(2013-04-05),상사 이전 차량으로 세금 계산서 또는 현금 영수증 발행 가능함,차량내 소화기 없음(낙찰자 설치 의무 있음-공고문 참고 요망).차량키 1개",2025-12-01,충북보관소,https://www.automart.co.kr/views/pub_auction/Common/CarDetail_in.asp?p_sel=2&PageNo=1&p_NotNo=GMAM012025A13892&p_Code=1&p_CarNo=XXX7815,
회원사 공개매각,XXX8646,코란도 스포,,"137,127","3,100,000",,,매수대금 납부일: 매각결정 발표일의 익일 16시까지 (공고문 참조)차량내 소화기 없음(낙찰자 설치 의무있음-공고문 참고요망). 제작 연도 2012년/룸 미러 후방 카메라,2025-12-01,경기북부2보관소,https://www.automart.co.kr/views/pub_auction/Common/CarDetail_in.asp?p_sel=2&PageNo=1&p_NotNo=GMAM012025A13891&p_Code=1&p_CarNo=XXX8646,
